source,target,label
nice-iris-gerbil,uneven-lipstick-piranha,nice-iris-gerbil
nice-iris-gerbil,active-boysenberry-cormorant,nice-iris-gerbil
nice-iris-gerbil,bent-oily-scorpion,nice-iris-gerbil
nice-iris-gerbil,clean-lava-sheep,nice-iris-gerbil
nice-iris-gerbil,little-oily-platypus,nice-iris-gerbil
nice-iris-gerbil,docile-orchid-tuna,nice-iris-gerbil
nice-iris-gerbil,dazzling-alabaster-bird,nice-iris-gerbil
nice-iris-gerbil,rapid-boysenberry-raccoon,nice-iris-gerbil
nice-iris-gerbil,mini-sapphire-gerbil,nice-iris-gerbil
creamy-fern-coyote,polite-juniper-albatross,creamy-fern-coyote
creamy-fern-coyote,expert-midnight-gazelle,creamy-fern-coyote
creamy-fern-coyote,magic-sage-salmon,creamy-fern-coyote
creamy-fern-coyote,dandy-pastel-snake,creamy-fern-coyote
creamy-fern-coyote,melted-jetblack-bobcat,creamy-fern-coyote
creamy-fern-coyote,gentle-tan-yak,creamy-fern-coyote
creamy-fern-coyote,mysterious-tangerine-goblin,creamy-fern-coyote
creamy-fern-coyote,calm-bamboo-tarantula,creamy-fern-coyote
creamy-fern-coyote,colossal-tin-dove,creamy-fern-coyote
creamy-fern-coyote,square-ultraviolet-frog,creamy-fern-coyote
creamy-fern-coyote,dry-caramel-blackbird,creamy-fern-coyote
creamy-fern-coyote,thankful-spruce-shell,creamy-fern-coyote
creamy-fern-coyote,bald-tortilla-spider,creamy-fern-coyote
creamy-fern-coyote,sneaky-violet-penguin,creamy-fern-coyote
creamy-fern-coyote,rough-marmalade-bird,creamy-fern-coyote
creamy-fern-coyote,sticky-foggy-perch,creamy-fern-coyote
creamy-fern-coyote,short-turquoise-rhino,creamy-fern-coyote
creamy-fern-coyote,boxy-navy-jay,creamy-fern-coyote
creamy-fern-coyote,small-onyx-stallion,creamy-fern-coyote
creamy-fern-coyote,square-olive-albatross,creamy-fern-coyote
creamy-fern-coyote,powerful-daisy-rat,creamy-fern-coyote
creamy-fern-coyote,tiny-inky-walrus,creamy-fern-coyote
creamy-fern-coyote,elegant-hazel-elk,creamy-fern-coyote
creamy-fern-coyote,large-hazel-flamingo,creamy-fern-coyote
creamy-fern-coyote,late-parchment-mantaray,creamy-fern-coyote
creamy-fern-coyote,sleepy-tan-horse,creamy-fern-coyote
creamy-fern-coyote,nutty-khaki-porcupine,creamy-fern-coyote
creamy-fern-coyote,urban-cornflower-panda,creamy-fern-coyote
creamy-fern-coyote,alert-mustard-cod,creamy-fern-coyote
creamy-fern-coyote,harsh-alabaster-mole,creamy-fern-coyote
